ID,Query,Preprocessed_Query,Tokenized_Query
173,".T Authoritarian Personality .A Adorno, T.W. This is a book about social discrimination.  But its purpose is not simply to add a few more empirical findings to an already extensive body of information.  The central theme of the work is a relatively new concept - the rise of an ""anthropological"" species we call the authoritarian type of man.  In contrast to the bigot of the older style he seems to combine the ideas and skills which are typical of a highly industrialized society with irrational or anti-rational beliefs.  He is at the same time enlightened and superstitious, proud to be an individualist and in constant fear of not being like all the others, jealous of his independence and inclined to submit blindly to power and authority.  The character structure which comprises these conflicting trends has already attracted the attention of modern philosophers and political thinkers.  This book approaches the problem with the means of socio-psychological research. .X 173	6	173 227	1	173 237	2	173 387	1	173 418	1	173 1070	1	173 1150	1	173 1186	1	173 1187	1	173 1240	1	173 1340	1	173 1340	1	173",authoritarian personality adorno tw book social discrimination purpose simply add empirical finding already extensive body information central theme work relatively new concept rise anthropological specie call authoritarian type man contrast bigot old style seem combine idea skill typical highly industrialize society irrational antirational belief time enlighten superstitious proud individualist constant fear like others jealous independence inclined submit blindly power authority character structure comprises conflict trend already attract attention modern philosopher political thinker book approach problem mean sociopsychological research x,"['authoritarian', 'person', 'adorno', 'tw', 'book', 'social', 'discrimin', 'purpos', 'simpli', 'add', 'empir', 'find', 'alreadi', 'extens', 'bodi', 'inform', 'central', 'theme', 'work', 'rel', 'new', 'concept', 'rise', 'anthropolog', 'speci', 'call', 'authoritarian', 'type', 'man', 'contrast', 'bigot', 'older', 'style', 'seem', 'combin', 'idea', 'skill', 'typic', 'highli', 'industri', 'societi', 'irrat', 'antir', 'belief', 'time', 'enlighten', 'superstiti', 'proud', 'individualist', 'constant', 'fear', 'like', 'other', 'jealou', 'independ', 'inclin', 'submit', 'blindli', 'power', 'author', 'charact', 'structur', 'compris', 'conflict', 'trend', 'alreadi', 'attract', 'attent', 'modern', 'philosoph', 'polit', 'thinker', 'book', 'approach', 'problem', 'mean', 'sociopsycholog', 'research', 'x']"
174,".T Automated Language Processing .A Borko, H. The idea for Automated Language Processing was suggested in 1964 at a time when the research efforts in information storage and retrieval were expanding at System Development Corporation.  Many people in the company were directly interested in this area, and an even larger group had interests that were tangentially related.  A quick and effective means of acquainting them with the state-of-the-art was needed, but no convenient compilation of relevant material was available.  It was agreed that a book on the theory and techniques of information storage and retrieval procedures would be a worthwhile project for the language processing staff to undertake. Although no one member could reasonably be expected to cover the entire range of technical developments in this field, the staff as a whole is concerned with most phases of the work.  This is attested by the fact that all but one of the chapter authors were connected with SDC either as employees or consultants.  The single exception is Pendergraft, for SDC has had no sustained project in machine translation.  SDC Management was enthusiastic in its support of the new project. .X 26	1	174 45	1	174 114	1	174 149	1	174 168	1	174 174	6	174 310	1	174 315	1	174 324	1	174 332	1	174 419	1	174 420	1	174 422	1	174 446	1	174 454	1	174 479	2	174 483	1	174 485	2	174 489	1	174 493	1	174 499	1	174 500	1	174 517	1	174 527	1	174 562	1	174 564	2	174 660	1	174 661	2	174 662	2	174 663	2	174 664	1	174 769	2	174 785	1	174 1144	2	174 1327	2	174 1419	1	174 1419	1	174",automate language processing borko h idea automate language processing suggest time research effort information storage retrieval expand system development corporation many people company directly interested area even large group interest tangentially related quick effective mean acquaint stateoftheart need convenient compilation relevant material available agree book theory technique information storage retrieval procedure would worthwhile project language processing staff undertake although one member could reasonably expect cover entire range technical development field staff whole concerned phase work attest fact one chapter author connect sdc either employee consultant single exception pendergraft sdc sustain project machine translation sdc management enthusiastic support new project x,"['autom', 'languag', 'process', 'borko', 'h', 'idea', 'autom', 'languag', 'process', 'suggest', 'time', 'research', 'effort', 'inform', 'storag', 'retriev', 'expand', 'system', 'develop', 'corpor', 'mani', 'peopl', 'compani', 'directli', 'interest', 'area', 'even', 'larger', 'group', 'interest', 'tangenti', 'relat', 'quick', 'effect', 'mean', 'acquaint', 'stateoftheart', 'need', 'conveni', 'compil', 'relev', 'materi', 'avail', 'agre', 'book', 'theori', 'techniqu', 'inform', 'storag', 'retriev', 'procedur', 'would', 'worthwhil', 'project', 'languag', 'process', 'staff', 'undertak', 'although', 'one', 'member', 'could', 'reason', 'expect', 'cover', 'entir', 'rang', 'technic', 'develop', 'field', 'staff', 'whole', 'concern', 'phase', 'work', 'attest', 'fact', 'one', 'chapter', 'author', 'connect', 'sdc', 'either', 'employe', 'consult', 'singl', 'except', 'pendergraft', 'sdc', 'sustain', 'project', 'machin', 'translat', 'sdc', 'manag', 'enthusiast', 'support', 'new', 'project', 'x']"
175,".T Automatic Information, Organization and Retrieval .A Salton, G. Information retrieval is a field concerned with the structure, analysis, organization, storage, searching, and retrieval of information. This book deals with the computer processing of large information files, with special emphasis on automatic text handling methods. Described in particular are procedures for dictionary construction and dictionary look-up, statistical and syntactic language analysis methods, information search and matching procedures, automatic information dissemination systems, and methods for user interaction with the mechanized system.  As such, the text includes elements of linguistics, mathematics, and computer programming. .X 26	2	175 29	1	175 34	1	175 38	1	175 39	2	175 45	1	175 50	2	175 51	2	175 53	1	175 57	1	175 59	1	175 61	3	175 62	2	175 63	2	175 64	1	175 67	1	175 68	2	175 69	2	175 70	1	175 71	3	175 72	1	175 73	3	175 77	4	175 78	2	175 79	2	175 81	1	175 82	1	175 84	1	175 86	1	175 114	3	175 131	3	175 133	2	175 135	1	175 136	1	175 138	1	175 140	1	175 144	2	175 149	1	175 168	2	175 175	82	175 176	6	175 206	1	175 207	1	175 208	1	175 224	1	175 228	1	175 229	1	175 245	1	175 261	1	175 273	1	175 274	1	175 298	1	175 310	1	175 315	1	175 316	1	175 317	1	175 318	1	175 320	1	175 324	1	175 327	1	175 331	1	175 336	1	175 346	1	175 347	1	175 348	1	175 355	1	175 359	1	175 363	1	175 374	1	175 381	1	175 382	7	175 389	5	175 390	6	175 416	1	175 419	1	175 420	2	175 422	2	175 446	1	175 448	2	175 455	4	175 456	1	175 458	11	175 459	1	175 464	1	175 466	1	175 471	2	175 476	1	175 477	1	175 478	1	175 479	2	175 480	2	175 481	2	175 482	1	175 483	4	175 484	3	175 485	2	175 486	2	175 487	1	175 488	3	175 489	1	175 491	1	175 493	1	175 494	1	175 498	2	175 499	1	175 500	1	175 501	1	175 502	1	175 503	5	175 507	1	175 509	5	175 510	1	175 512	1	175 514	2	175 516	1	175 517	3	175 519	1	175 520	2	175 522	2	175 527	3	175 528	1	175 531	1	175 554	1	175 558	1	175 562	2	175 564	1	175 565	6	175 566	5	175 567	1	175 570	3	175 571	1	175 572	1	175 575	1	175 576	4	175 577	1	175 579	2	175 581	1	175 583	1	175 585	1	175 586	2	175 587	1	175 589	2	175 591	1	175 592	1	175 593	1	175 595	2	175 596	3	175 599	1	175 600	2	175 601	1	175 603	2	175 608	3	175 615	1	175 619	1	175 620	1	175 621	1	175 625	2	175 630	1	175 633	1	175 636	1	175 643	1	175 644	1	175 649	1	175 652	1	175 653	1	175 657	2	175 659	3	175 660	3	175 662	3	175 664	2	175 666	2	175 680	1	175 704	1	175 715	1	175 717	2	175 718	1	175 719	1	175 745	2	175 750	1	175 751	1	175 752	2	175 754	2	175 769	1	175 779	2	175 780	4	175 781	2	175 783	1	175 785	2	175 790	1	175 792	1	175 799	1	175 804	1	175 805	3	175 807	2	175 809	1	175 810	3	175 812	1	175 813	1	175 814	1	175 817	1	175 820	1	175 822	1	175 824	1	175 825	1	175 829	2	175 830	1	175 834	1	175 835	1	175 848	1	175 849	1	175 850	1	175 851	1	175 852	1	175 863	1	175 864	1	175 894	3	175 895	1	175 907	1	175 922	1	175 925	2	175 956	1	175 960	1	175 963	1	175 966	1	175 980	1	175 981	2	175 982	2	175 987	1	175 988	1	175 989	1	175 1025	1	175 1042	2	175 1044	7	175 1045	2	175 1046	1	175 1051	3	175 1080	1	175 1085	1	175 1086	1	175 1118	3	175 1144	4	175 1152	1	175 1154	1	175 1175	1	175 1218	3	175 1219	1	175 1255	1	175 1265	1	175 1277	1	175 1280	1	175 1282	1	175 1285	2	175 1287	1	175 1294	5	175 1298	1	175 1307	1	175 1309	1	175 1313	1	175 1323	1	175 1327	16	175 1358	1	175 1381	1	175 1382	1	175 1399	1	175 1402	1	175 1405	1	175 1410	2	175 1414	1	175 1415	2	175 1417	1	175 1419	2	175 1426	1	175 1427	1	175 1428	1	175 1443	1	175 1448	1	175 1448	1	175",automatic information organization retrieval salton g information retrieval field concerned structure analysis organization storage search retrieval information book deal computer processing large information file special emphasis automatic text handle method described particular procedure dictionary construction dictionary lookup statistical syntactic language analysis method information search match procedure automatic information dissemination system method user interaction mechanize system text include element linguistics mathematics computer program x,"['automat', 'inform', 'organ', 'retriev', 'salton', 'g', 'inform', 'retriev', 'field', 'concern', 'structur', 'analysi', 'organ', 'storag', 'search', 'retriev', 'inform', 'book', 'deal', 'comput', 'process', 'larg', 'inform', 'file', 'special', 'emphasi', 'automat', 'text', 'handl', 'method', 'describ', 'particular', 'procedur', 'dictionari', 'construct', 'dictionari', 'lookup', 'statist', 'syntact', 'languag', 'analysi', 'method', 'inform', 'search', 'match', 'procedur', 'automat', 'inform', 'dissemin', 'system', 'method', 'user', 'interact', 'mechan', 'system', 'text', 'includ', 'element', 'linguist', 'mathemat', 'comput', 'program', 'x']"
176,".T Automated Keyword Classification for Information Retrieval .A Sparck-Jones, K. This book is primarily a research monograph, in which the discussion of the main topics has been broadened so that they are related to their surrounding context in information retrieval as a whole; it is not a textbook, and no attempt has therefore been made to justify the choice of topic, or account for the use of certain concepts, or to provide an elementary description of either.  For instance in Chapter 1, it is assumed that the reader is familiar with the idea of using keywords in information retrieval: I have not considered the relation between this kind of retrieval device and a controlled thesaurus or descriptor set, or that between the use of simple class lists as document descriptions and the use of descriptions with a syntactic structure, for example.  Equally, in Chapter 2, I have made use of recall/precision ratios as a means of characterising retrieval performance, without justification or argument; but this does not mean that I am unaware of the difficulties of doing this, or of the attention which has been devoted to, and controversy which has raged round, this subject; it is simply that from the point of view of my main purpose it is reasonable to use these ratios. .X 26	1	176 30	1	176 51	3	176 57	2	176 61	1	176 69	1	176 71	2	176 73	1	176 75	1	176 77	2	176 79	1	176 114	1	176 144	1	176 168	1	176 175	6	176 176	16	176 315	1	176 327	1	176 329	1	176 363	1	176 382	1	176 419	3	176 434	1	176 446	1	176 448	2	176 458	2	176 480	1	176 483	2	176 484	1	176 486	1	176 488	3	176 491	1	176 493	1	176 499	1	176 500	1	176 503	1	176 507	1	176 509	4	176 510	1	176 512	1	176 517	2	176 520	1	176 522	2	176 527	2	176 528	1	176 531	1	176 565	5	176 566	2	176 570	1	176 572	1	176 576	1	176 577	2	176 581	1	176 595	1	176 596	4	176 603	1	176 608	2	176 619	1	176 633	1	176 644	1	176 659	2	176 660	2	176 661	1	176 662	2	176 664	1	176 715	1	176 754	1	176 785	1	176 790	1	176 805	1	176 809	1	176 810	2	176 812	3	176 813	2	176 814	2	176 817	1	176 824	2	176 825	1	176 830	1	176 870	1	176 894	2	176 928	1	176 963	1	176 990	1	176 991	1	176 1044	1	176 1051	1	176 1218	1	176 1255	1	176 1294	1	176 1307	1	176 1327	2	176 1413	1	176 1414	1	176 1419	1	176 1427	1	176 1445	1	176 1448	1	176 1448	1	176",automate keyword classification information retrieval sparckjones k book primarily research monograph discussion main topic broaden related surround context information retrieval whole textbook attempt therefore make justify choice topic account use certain concept provide elementary description either instance chapter assume reader familiar idea use keywords information retrieval consider relation kind retrieval device control thesaurus descriptor set use simple class list document description use description syntactic structure example equally chapter make use recallprecision ratio mean characterise retrieval performance without justification argument mean unaware difficulty attention devote controversy rag round subject simply point view main purpose reasonable use ratio x,"['autom', 'keyword', 'classif', 'inform', 'retriev', 'sparckjon', 'k', 'book', 'primarili', 'research', 'monograph', 'discuss', 'main', 'topic', 'broaden', 'relat', 'surround', 'context', 'inform', 'retriev', 'whole', 'textbook', 'attempt', 'therefor', 'made', 'justifi', 'choic', 'topic', 'account', 'use', 'certain', 'concept', 'provid', 'elementari', 'descript', 'either', 'instanc', 'chapter', 'assum', 'reader', 'familiar', 'idea', 'use', 'keyword', 'inform', 'retriev', 'consid', 'relat', 'kind', 'retriev', 'devic', 'control', 'thesauru', 'descriptor', 'set', 'use', 'simpl', 'class', 'list', 'document', 'descript', 'use', 'descript', 'syntact', 'structur', 'exampl', 'equal', 'chapter', 'made', 'use', 'recallprecis', 'ratio', 'mean', 'characteris', 'retriev', 'perform', 'without', 'justif', 'argument', 'mean', 'unawar', 'difficulti', 'attent', 'devot', 'controversi', 'rage', 'round', 'subject', 'simpli', 'point', 'view', 'main', 'purpos', 'reason', 'use', 'ratio', 'x']"
177,".T Automation in Libraries .A Kimber, R.T. My purpose in writing this book has been to try to give an understanding of what automated systems can do in libraries today.  I have limited myself strictly to those areas which are commonly termed ""library housekeeping"" - the processes of book ordering and cataloguing, periodicals accessioning and circulation control, whose purpose is to make a library into an efficient machine for acquiring, storing, and disseminating knowledge and information.  These are the processes which can be automated here and now to improve the quality of service which a library can give to its readers.  I hope that the descriptions and explanations given here will be of assistance to librarians in developing appropriate automated systems in their own libraries. .X 24	1	177 75	1	177 78	1	177 80	1	177 177	7	177 281	1	177 287	1	177 336	1	177 348	1	177 374	1	177 406	1	177 408	2	177 458	1	177 471	1	177 849	1	177 852	1	177 853	1	177 854	1	177 855	1	177 897	1	177 916	1	177 979	1	177 984	1	177 1007	1	177 1011	1	177 1248	1	177 1327	1	177 1433	1	177 1433	1	177",automation library kimber rt purpose write book try give understand automate system library today limited strictly area commonly term library housekeep process book order catalogue periodical accession circulation control whose purpose make library efficient machine acquire store disseminate knowledge information process automate improve quality service library give reader hope description explanation give assistance librarian develop appropriate automate system library x,"['autom', 'librari', 'kimber', 'rt', 'purpos', 'write', 'book', 'tri', 'give', 'understand', 'autom', 'system', 'librari', 'today', 'limit', 'strictli', 'area', 'commonli', 'term', 'librari', 'housekeep', 'process', 'book', 'order', 'catalogu', 'period', 'access', 'circul', 'control', 'whose', 'purpos', 'make', 'librari', 'effici', 'machin', 'acquir', 'store', 'dissemin', 'knowledg', 'inform', 'process', 'autom', 'improv', 'qualiti', 'servic', 'librari', 'give', 'reader', 'hope', 'descript', 'explan', 'given', 'assist', 'librarian', 'develop', 'appropri', 'autom', 'system', 'librari', 'x']"
178,".T The Automation Survey: Background and Conclusions .A King, G.W. During the past decade the Library of Congress, in common with many other research libraries, has become increasingly aware of pressures and strains in many of its operations.  These areas of concern (well known to librarians) include mounting arrearages in cataloguing and other processing activities; increasing complexity of manual inventory control files; increasing difficulty in keeping card catalogues reasonably current and accurate; and increasing demands for a wide variety of services for a clientele whose needs for information have grown tremendously since World War II, and many of whom have only recently turned to large research libraries for help.  Five years ago an internal committee of the Library of Congress was charged to study potential applications of electronic data processing equipment to Library procedures; subsequently representatives of three computer firms made brief studies of Library operations which intimated that certain areas could benefit substantially by automation. .X 159	1	178 164	1	178 172	1	178 178	11	178 206	1	178 245	2	178 249	1	178 287	1	178 291	1	178 374	1	178 406	1	178 408	3	178 419	1	178 481	1	178 491	1	178 507	1	178 520	1	178 523	1	178 591	1	178 623	1	178 822	1	178 852	1	178 854	1	178 857	1	178 858	1	178 859	1	178 861	1	178 907	2	178 916	1	178 925	1	178 959	1	178 960	1	178 962	2	178 970	1	178 976	1	178 997	1	178 1007	2	178 1011	1	178 1033	1	178 1043	1	178 1071	1	178 1252	2	178 1317	1	178 1358	1	178 1371	1	178 1400	3	178 1400	3	178",automation survey background conclusion king gw past decade library congress common many research library become increasingly aware pressure strain many operation area concern well know librarian include mount arrearages catalogue processing activity increase complexity manual inventory control file increase difficulty keep card catalogue reasonably current accurate increase demand wide variety service clientele whose need information grown tremendously since world war ii many recently turn large research library help five year ago internal committee library congress charge study potential application electronic data processing equipment library procedure subsequently representative three computer firm make brief study library operation intimate certain area could benefit substantially automation x,"['autom', 'survey', 'background', 'conclus', 'king', 'gw', 'past', 'decad', 'librari', 'congress', 'common', 'mani', 'research', 'librari', 'becom', 'increasingli', 'awar', 'pressur', 'strain', 'mani', 'oper', 'area', 'concern', 'well', 'known', 'librarian', 'includ', 'mount', 'arrearag', 'catalogu', 'process', 'activ', 'increas', 'complex', 'manual', 'inventori', 'control', 'file', 'increas', 'difficulti', 'keep', 'card', 'catalogu', 'reason', 'current', 'accur', 'increas', 'demand', 'wide', 'varieti', 'servic', 'clientel', 'whose', 'need', 'inform', 'grown', 'tremend', 'sinc', 'world', 'war', 'ii', 'mani', 'recent', 'turn', 'larg', 'research', 'librari', 'help', 'five', 'year', 'ago', 'intern', 'committe', 'librari', 'congress', 'charg', 'studi', 'potenti', 'applic', 'electron', 'data', 'process', 'equip', 'librari', 'procedur', 'subsequ', 'repres', 'three', 'comput', 'firm', 'made', 'brief', 'studi', 'librari', 'oper', 'intim', 'certain', 'area', 'could', 'benefit', 'substanti', 'autom', 'x']"
179,".T Automatic information, organization and retrieval .A Salton, G. This book deals with the computer processing of large information files, with special emphasis on automatic text handling methods. Described in particular are procedures for dictionary construction and dictionary look-up, statistical and syntactic language analysis methods, information search and matching procedures, automatic information dissemination systems, and methods for user interaction with the mechanized system.  As such, the text includes elements of linguistics, mathematics, and computer programming. .X 30	1	179 179	14	179 180	1	179 317	1	179 363	1	179 464	1	179 509	1	179 539	1	179 562	1	179 564	1	179 566	2	179 572	1	179 659	1	179 664	1	179 683	1	179 853	1	179 1117	1	179 1118	1	179 1130	1	179 1136	1	179 1137	1	179 1138	1	179 1139	1	179 1140	2	179 1327	1	179 1327	1	179",automatic information organization retrieval salton g book deal computer processing large information file special emphasis automatic text handle method described particular procedure dictionary construction dictionary lookup statistical syntactic language analysis method information search match procedure automatic information dissemination system method user interaction mechanize system text include element linguistics mathematics computer program x,"['automat', 'inform', 'organ', 'retriev', 'salton', 'g', 'book', 'deal', 'comput', 'process', 'larg', 'inform', 'file', 'special', 'emphasi', 'automat', 'text', 'handl', 'method', 'describ', 'particular', 'procedur', 'dictionari', 'construct', 'dictionari', 'lookup', 'statist', 'syntact', 'languag', 'analysi', 'method', 'inform', 'search', 'match', 'procedur', 'automat', 'inform', 'dissemin', 'system', 'method', 'user', 'interact', 'mechan', 'system', 'text', 'includ', 'element', 'linguist', 'mathemat', 'comput', 'program', 'x']"
180,".T Automated Information-Retrieval Systems (IRS) .A Belonogov, G.G. .B 1973 It is easiest of all to apply mechanization and automation to the transmission, accumulation and search of information.  Automation can also be extended to cover some more complicated functions.  In all of these cases, the results supplied by automatic devices are analysed and decisions are taken usually by man.  Thus, the role of machine is to considerably extend man's capabilities rather than to completely replace man. The automated systems intended to accumulate and search for information have come to be called information-retrieval systems (IRS).  These systems can also perform the simpler forms of data processing. The physical facilities of these systems are communications equipment, punched-card computers, microfilming equipment, and electronic computers, the latter playing the most prominent part. .X 78	1	180 179	1	180 180	6	180 363	1	180 572	1	180 683	1	180 1139	1	180 1168	1	180 1171	1	180 1409	1	180 1409	1	180",automate informationretrieval system irs belonogov gg b easy apply mechanization automation transmission accumulation search information automation also extend cover complicate function case result supply automatic device analyse decision take usually man thus role machine considerably extend man capability rather completely replace man automate system intend accumulate search information come call informationretrieval system irs system also perform simpler form data processing physical facility system communication equipment punchedcard computer microfilm equipment electronic computer latter play prominent part x,"['autom', 'informationretriev', 'system', 'ir', 'belonogov', 'gg', 'b', 'easiest', 'appli', 'mechan', 'autom', 'transmiss', 'accumul', 'search', 'inform', 'autom', 'also', 'extend', 'cover', 'complic', 'function', 'case', 'result', 'suppli', 'automat', 'devic', 'analys', 'decis', 'taken', 'usual', 'man', 'thu', 'role', 'machin', 'consider', 'extend', 'man', 'capabl', 'rather', 'complet', 'replac', 'man', 'autom', 'system', 'intend', 'accumul', 'search', 'inform', 'come', 'call', 'informationretriev', 'system', 'ir', 'system', 'also', 'perform', 'simpler', 'form', 'data', 'process', 'physic', 'facil', 'system', 'commun', 'equip', 'punchedcard', 'comput', 'microfilm', 'equip', 'electron', 'comput', 'latter', 'play', 'promin', 'part', 'x']"
181,".T Medical School Library Statistics .A Keenan, E.L. At the June 1962 Convention of the Medical Library Association in Chicago, Illinois, Mr. Stanley Truelson, now Librarian of the University of Rochester School of Medicine and Dentistry, circulated a petition requesting the collection and publication of medical school library statistics.  Forty-eight medical school head librarians signed the petition indicating their approval, and a committee for this purpose was formed by Dr. Vilma Proctor, Chairman of the Medical School Libraries Group of the Medical Library Association. This committee, composed of Mr. Truelson, Dr.Proctor, and myself, studied the questionnaires already in use, such as that of the U.S. Office of Education.  These were rejected as not meeting the needs of our specialized group of libraries.  As a guide for selecting the terminology in the questionnaire, we used the American Library Association's Definitions for Library Statistics; a Preliminary Draft (Chicago, 1961). After several drafts, a sample questionnaire was approved by the committee and distributed to all the medical school libraries in the United States and Canada.  The Canadian medical school libraries were included as a result of communications with Miss Doreen Fraser, Librarian of the Bio-Medical Library of the University of British Columbia and Dr. J. Wendell McLeod of the Association of Canadian Medical Colleges. .X 31	1	181 36	1	181 41	1	181 46	1	181 181	5	181 182	2	181 183	2	181 184	2	181 193	1	181 195	1	181 198	1	181 201	2	181 203	1	181 204	1	181 205	1	181 206	1	181 207	2	181 208	2	181 217	1	181 269	1	181 395	1	181 415	1	181 748	1	181 760	1	181 767	1	181 774	1	181 778	1	181 891	3	181 905	1	181 952	1	181 953	1	181 964	1	181 968	1	181 1009	1	181 1018	1	181 1019	1	181 1240	1	181 1359	1	181 1397	1	181 1417	1	181 1417	1	181",medical school library statistic keenan el june convention medical library association chicago illinois mr stanley truelson librarian university rochester school medicine dentistry circulate petition request collection publication medical school library statistic fortyeight medical school head librarian sign petition indicate approval committee purpose form dr vilma proctor chairman medical school library group medical library association committee compose mr truelson drproctor study questionnaire already use u office education reject meeting need specialized group library guide select terminology questionnaire use american library association definition library statistic preliminary draft chicago several draft sample questionnaire approve committee distribute medical school library united state canada canadian medical school library include result communication miss doreen fraser librarian biomedical library university british columbia dr j wendell mcleod association canadian medical college x,"['medic', 'school', 'librari', 'statist', 'keenan', 'el', 'june', 'convent', 'medic', 'librari', 'associ', 'chicago', 'illinoi', 'mr', 'stanley', 'truelson', 'librarian', 'univers', 'rochest', 'school', 'medicin', 'dentistri', 'circul', 'petit', 'request', 'collect', 'public', 'medic', 'school', 'librari', 'statist', 'fortyeight', 'medic', 'school', 'head', 'librarian', 'sign', 'petit', 'indic', 'approv', 'committe', 'purpos', 'form', 'dr', 'vilma', 'proctor', 'chairman', 'medic', 'school', 'librari', 'group', 'medic', 'librari', 'associ', 'committe', 'compos', 'mr', 'truelson', 'drproctor', 'studi', 'questionnair', 'alreadi', 'use', 'us', 'offic', 'educ', 'reject', 'meet', 'need', 'special', 'group', 'librari', 'guid', 'select', 'terminolog', 'questionnair', 'use', 'american', 'librari', 'associ', 'definit', 'librari', 'statist', 'preliminari', 'draft', 'chicago', 'sever', 'draft', 'sampl', 'questionnair', 'approv', 'committe', 'distribut', 'medic', 'school', 'librari', 'unit', 'state', 'canada', 'canadian', 'medic', 'school', 'librari', 'includ', 'result', 'commun', 'miss', 'doreen', 'fraser', 'librarian', 'biomed', 'librari', 'univers', 'british', 'columbia', 'dr', 'j', 'wendel', 'mcleod', 'associ', 'canadian', 'medic', 'colleg', 'x']"
182,".T The Contemporary Medical Society Library .A Crawford, Susan Michel, Carol Waligorski, Conrad Four hundred sixty-eight medical societies  in the United States were surveyed to determine those which sponsor libraries.. Seventy-eight libraries were identified, of which eighteen are ""marginal"" and nine are jointly supported by a medical school and a society, leaving fifty-one relatively ""substantial"" libraries whose major support is through society membership.. Characteristics measured include size of collection, types of media, staff, budget, services, and sources of support.. Questions are raised concerning the role of the medical library as one institution which participates in the continuing education of the physician.. .X 31	1	182 36	1	182 41	1	182 46	1	182 181	2	182 182	5	182 183	2	182 184	2	182 185	2	182 186	1	182 193	1	182 195	1	182 198	1	182 201	2	182 203	1	182 204	1	182 205	1	182 220	1	182 269	1	182 395	1	182 415	1	182 760	1	182 767	1	182 774	1	182 778	1	182 891	3	182 905	1	182 952	1	182 953	1	182 964	1	182 968	1	182 1009	1	182 1018	1	182 1019	1	182 1240	1	182 1359	1	182 1397	1	182 1417	1	182 1417	1	182",contemporary medical society library crawford susan michel carol waligorski conrad four hundred sixtyeight medical society united state survey determine sponsor library seventyeight library identify eighteen marginal nine jointly support medical school society leave fiftyone relatively substantial library whose major support society membership characteristic measure include size collection type medium staff budget service source support question raise concern role medical library one institution participates continue education physician x,"['contemporari', 'medic', 'societi', 'librari', 'crawford', 'susan', 'michel', 'carol', 'waligorski', 'conrad', 'four', 'hundr', 'sixtyeight', 'medic', 'societi', 'unit', 'state', 'survey', 'determin', 'sponsor', 'librari', 'seventyeight', 'librari', 'identifi', 'eighteen', 'margin', 'nine', 'jointli', 'support', 'medic', 'school', 'societi', 'leav', 'fiftyon', 'rel', 'substanti', 'librari', 'whose', 'major', 'support', 'societi', 'membership', 'characterist', 'measur', 'includ', 'size', 'collect', 'type', 'media', 'staff', 'budget', 'servic', 'sourc', 'support', 'question', 'rais', 'concern', 'role', 'medic', 'librari', 'one', 'institut', 'particip', 'continu', 'educ', 'physician', 'x']"
183,".T Analysis of One Year's Circulation at the Downstate Medical Center Library .A Kovacs, Helen A survey of the circulation of books and journals  at the Downstate Medical Center Library was conducted, based on cancelled circulation cards accumulated during a one-year period.. Analysis of the results shows the frequency of use of various materials by several groups of borrowers and brings out important differences between circulation of books and that of journals.. One of the result was the compilation of a list of most frequently used journals.. The findings  are graphically represented by several tables and charts.. .X 2	1	183 31	2	183 33	2	183 36	4	183 41	2	183 46	1	183 76	2	183 89	2	183 90	1	183 97	1	183 102	1	183 111	1	183 112	1	183 115	1	183 132	1	183 137	1	183 139	1	183 152	1	183 155	1	183 161	1	183 163	1	183 181	2	183 182	2	183 183	12	183 184	7	183 192	1	183 193	5	183 195	2	183 196	1	183 198	2	183 199	2	183 201	5	183 202	1	183 203	7	183 204	4	183 205	2	183 209	1	183 210	3	183 212	1	183 215	1	183 217	1	183 219	1	183 220	1	183 221	1	183 222	1	183 225	2	183 269	3	183 284	1	183 286	1	183 294	1	183 373	1	183 395	1	183 415	2	183 475	1	183 543	1	183 545	1	183 552	3	183 587	1	183 588	1	183 605	1	183 613	2	183 614	1	183 624	1	183 638	1	183 735	2	183 747	1	183 750	1	183 753	1	183 760	2	183 766	2	183 767	3	183 774	2	183 775	2	183 778	1	183 782	1	183 784	2	183 788	2	183 789	2	183 793	1	183 799	1	183 800	2	183 808	2	183 828	1	183 891	1	183 905	2	183 943	1	183 944	1	183 952	1	183 953	2	183 959	1	183 964	1	183 968	1	183 977	3	183 983	1	183 1009	1	183 1016	1	183 1018	1	183 1019	1	183 1023	1	183 1030	1	183 1055	3	183 1056	1	183 1071	1	183 1087	1	183 1090	1	183 1135	1	183 1151	1	183 1203	1	183 1240	1	183 1260	1	183 1275	1	183 1276	1	183 1278	1	183 1280	1	183 1285	1	183 1286	1	183 1287	1	183 1302	2	183 1335	1	183 1352	1	183 1359	1	183 1390	1	183 1397	3	183 1417	2	183 1428	1	183 1432	2	183 1451	2	183 1451	2	183",analysis one year circulation downstate medical center library kovacs helen survey circulation book journal downstate medical center library conduct base cancel circulation card accumulate oneyear period analysis result show frequency use various material several group borrower brings important difference circulation book journal one result compilation list frequently use journal finding graphically represent several table chart x,"['analysi', 'one', 'year', 'circul', 'downstat', 'medic', 'center', 'librari', 'kovac', 'helen', 'survey', 'circul', 'book', 'journal', 'downstat', 'medic', 'center', 'librari', 'conduct', 'base', 'cancel', 'circul', 'card', 'accumul', 'oneyear', 'period', 'analysi', 'result', 'show', 'frequenc', 'use', 'variou', 'materi', 'sever', 'group', 'borrow', 'bring', 'import', 'differ', 'circul', 'book', 'journal', 'one', 'result', 'compil', 'list', 'frequent', 'use', 'journal', 'find', 'graphic', 'repres', 'sever', 'tabl', 'chart', 'x']"
